Temp,Violet,Blue,Green,Yellow,Orange,Red
33.0,1.14,1.24,2.07,1.82,1.89,0.88
32.0,1.14,1.24,2.07,0.91,1.89,0.88
33.0,1.14,1.24,2.07,0.91,1.89,0.88
33.0,1.14,1.24,2.07,1.82,1.89,0.88
33.0,1.14,1.24,2.07,1.82,1.89,0.88
33.0,1.14,1.24,2.07,1.82,1.89,0.88
33.0,1.14,1.24,2.07,1.82,1.89,0.88
32.0,1.14,1.24,2.07,1.82,1.89,0.88
33.0,1.14,1.24,2.07,1.82,1.89,0.88
33.0,1.14,1.24,2.07,1.82,1.89,0.88
33.0,1.14,1.24,2.07,1.82,1.89,0.88
33.0,1.14,1.24,2.07,1.82,1.89,0.88
33.0,1.14,1.24,2.07,1.82,1.89,0.88
33.0,1.14,1.24,2.07,1.82,1.89,0.88
