Temp,Violet,Blue,Green,Yellow,Orange,Red
33.0,606.62,163.75,336.13,217.23,385.55,124.33
33.0,605.48,163.75,336.13,217.23,385.55,126.96
33.0,605.48,163.75,336.13,217.23,385.55,126.08
33.0,602.06,163.75,337.17,217.23,386.49,122.58
33.0,599.78,163.75,336.13,216.32,386.49,119.08
33.0,592.94,162.51,337.17,217.23,386.49,119.95
33.0,594.08,162.51,337.17,217.23,387.43,119.95
33.0,598.64,163.75,337.17,217.23,386.49,118.2
33.0,592.94,162.51,337.17,217.23,387.43,118.2
33.0,591.8,162.51,337.17,217.23,388.37,115.57
33.0,588.38,162.51,338.2,216.32,388.37,115.57
33.0,581.54,162.51,338.2,216.32,389.32,112.07
33.0,582.68,161.27,337.17,216.32,388.37,111.2
33.0,582.68,161.27,337.17,216.32,389.32,112.07
