Temp,Violet,Blue,Green,Yellow,Orange,Red
31.0,46.75,29.77,30.09,23.63,34.88,32.4
31.0,46.75,29.77,30.09,23.63,34.88,32.4
31.0,46.75,29.77,29.05,23.63,34.88,32.4
31.0,46.75,29.77,29.05,23.63,34.88,32.4
31.0,46.75,29.77,29.05,23.63,34.88,32.4
31.0,46.75,29.77,29.05,23.63,34.88,32.4
31.0,46.75,28.53,29.05,23.63,33.94,32.4
31.0,45.61,28.53,29.05,23.63,33.94,32.4
31.0,45.61,29.77,29.05,23.63,33.94,31.52
31.0,45.61,28.53,29.05,23.63,33.94,31.52
31.0,45.61,28.53,29.05,23.63,33.94,31.52
31.0,45.61,28.53,29.05,23.63,33.94,31.52
31.0,45.61,28.53,29.05,23.63,33.94,31.52
31.0,45.61,28.53,29.05,23.63,33.94,31.52
