Temp,Violet,Blue,Green,Yellow,Orange,Red
31.0,3026.28,2079.13,1454.49,1237.0,1390.42,2370.16
31.0,3027.42,2079.13,1456.56,1237.0,1390.42,2373.66
31.0,3030.84,2079.13,1454.49,1236.09,1390.42,2369.28
31.0,3027.42,2076.64,1454.49,1236.09,1389.47,2369.28
31.0,3027.42,2076.64,1454.49,1236.09,1389.47,2370.16
31.0,3027.42,2079.13,1455.52,1235.19,1388.53,2369.28
31.0,3030.84,2075.4,1453.45,1235.19,1389.47,2370.16
31.0,3027.42,2076.64,1453.45,1235.19,1388.53,2369.28
31.0,3027.42,2079.13,1454.49,1235.19,1388.53,2370.16
31.0,3026.28,2075.4,1453.45,1236.09,1388.53,2372.79
31.0,3027.42,2076.64,1454.49,1235.19,1387.59,2370.16
31.0,3030.84,2075.4,1453.45,1235.19,1387.59,2369.28
31.0,3029.7,2075.4,1453.45,1233.37,1387.59,2369.28
31.0,3026.28,2077.89,1453.45,1234.28,1386.65,2368.41
