Temp,Violet,Blue,Green,Yellow,Orange,Red
42.0,58383.08,15259.74,10675.23,13767.91,16176.92,29068.82
42.0,57518.75,13546.57,10338.06,13202.58,17484.38,27406.12
42.0,56308.92,12973.45,10117.09,12774.49,16505.9,23943.25
42.0,53799.18,13123.55,10273.74,13072.61,16055.31,24286.48
42.0,40292.66,13248.85,10476.04,13269.84,15163.56,21569.59
42.0,38016.67,12995.78,10170.0,12708.14,14441.49,19744.03
42.0,36589.05,12782.41,10048.62,12566.36,14443.37,19885.88
42.0,41960.88,13031.75,10022.68,12607.26,14384.93,20637.11
42.0,39861.64,12655.87,9639.87,12002.84,14157.75,19352.66
42.0,36219.61,11998.39,9452.09,11661.1,13269.77,18278.33
42.0,35799.99,12368.07,9753.98,12145.54,13604.41,19505.0
42.0,38453.4,12526.86,9606.67,12040.11,14073.85,20759.69
42.0,36866.14,12168.35,9513.3,11882.87,13978.64,20293.01
42.0,38343.93,12067.86,9324.49,11586.57,13959.79,19818.46
