Temp,Violet,Blue,Green,Yellow,Orange,Red
39.0,28960.64,26456.76,24071.66,19033.13,21252.18,13557.28
39.0,28949.23,26438.15,24082.03,19020.41,21231.44,13545.9
39.0,28938.97,26444.35,24051.94,19004.05,21201.27,13529.26
39.0,28915.02,26420.78,24054.02,19004.05,21172.99,13511.75
39.0,28894.5,26404.66,24044.68,18978.6,21144.71,13501.24
39.0,28873.98,26394.73,24036.38,18983.14,21118.32,13488.98
39.0,28850.03,26372.4,24027.05,18956.78,21093.81,13478.48
40.0,28834.07,26356.27,24012.52,18941.33,21065.53,13461.84
39.0,28810.12,26340.15,23982.44,18927.7,21035.36,13446.08
39.0,28786.17,26315.34,23969.99,18914.07,21006.14,13430.32
40.0,28762.23,26291.77,23952.35,18914.98,20976.92,13412.81
39.0,28739.42,26275.64,23939.9,18883.16,20946.75,13398.8
40.0,28721.18,26259.51,23936.79,18879.53,20925.08,13393.55
40.0,28704.08,26252.07,23945.09,18868.62,20898.68,13382.16
