Temp,Violet,Blue,Green,Yellow,Orange,Red
33.0,116.31,125.29,1042.62,555.33,543.91,141.84
33.0,116.31,125.29,1041.59,555.33,543.91,141.84
33.0,116.31,125.29,1042.62,554.42,543.91,141.84
33.0,116.31,125.29,1042.62,555.33,543.91,141.84
33.0,116.31,125.29,1042.62,557.15,543.91,141.84
33.0,116.31,125.29,1042.62,555.33,543.91,141.84
33.0,116.31,125.29,1043.66,556.24,543.91,141.84
33.0,116.31,125.29,1042.62,554.42,543.91,141.84
33.0,116.31,125.29,1042.62,555.33,543.91,141.84
33.0,116.31,125.29,1042.62,555.33,543.91,141.84
33.0,116.31,125.29,1042.62,555.33,543.91,141.84
33.0,116.31,125.29,1043.66,554.42,544.86,141.84
33.0,116.31,125.29,1044.7,555.33,543.91,141.84
33.0,116.31,125.29,1045.74,556.24,544.86,141.84
