Temp,Violet,Blue,Green,Yellow,Orange,Red
33.0,10.26,12.41,35.27,25.45,38.65,14.01
33.0,10.26,12.41,35.27,25.45,38.65,14.01
33.0,10.26,12.41,35.27,25.45,38.65,14.01
33.0,10.26,12.41,35.27,26.36,38.65,14.01
33.0,10.26,12.41,35.27,25.45,38.65,14.01
33.0,10.26,12.41,35.27,25.45,38.65,14.01
33.0,10.26,12.41,35.27,25.45,38.65,14.01
33.0,9.12,12.41,35.27,25.45,38.65,14.01
33.0,9.12,12.41,35.27,25.45,38.65,14.01
33.0,10.26,12.41,35.27,25.45,38.65,14.01
33.0,10.26,12.41,35.27,25.45,38.65,14.01
33.0,10.26,12.41,35.27,25.45,38.65,14.01
33.0,9.12,12.41,35.27,25.45,38.65,14.01
33.0,9.12,12.41,35.27,25.45,38.65,14.01
