Temp,Violet,Blue,Green,Yellow,Orange,Red
32.0,1.14,1.24,3.11,3.64,5.66,4.38
31.0,1.14,1.24,3.11,3.64,5.66,4.38
31.0,1.14,1.24,3.11,3.64,4.71,4.38
31.0,1.14,1.24,3.11,3.64,4.71,4.38
31.0,1.14,1.24,3.11,3.64,5.66,4.38
31.0,1.14,1.24,3.11,3.64,5.66,4.38
31.0,1.14,1.24,3.11,3.64,5.66,4.38
31.0,1.14,1.24,3.11,3.64,5.66,4.38
32.0,1.14,1.24,3.11,3.64,5.66,4.38
31.0,1.14,1.24,3.11,3.64,5.66,4.38
31.0,1.14,1.24,3.11,3.64,5.66,4.38
31.0,1.14,1.24,3.11,3.64,5.66,4.38
32.0,1.14,1.24,3.11,3.64,5.66,4.38
32.0,1.14,1.24,3.11,3.64,5.66,4.38
