Temp,Violet,Blue,Green,Yellow,Orange,Red
32.0,320.42,161.27,447.14,516.25,1958.84,1296.71
32.0,298.75,160.03,449.21,517.16,1991.83,1312.47
32.0,304.45,160.03,445.06,513.52,1904.16,1258.19
32.0,304.45,160.03,446.1,515.34,1947.53,1280.95
32.0,302.17,160.03,445.06,513.52,1909.82,1260.82
32.0,267.96,158.79,439.87,509.89,1792.93,1177.64
32.0,273.67,158.79,440.91,509.89,1822.15,1192.52
32.0,275.95,158.79,440.91,508.98,1803.3,1186.39
32.0,262.26,157.55,437.8,508.07,1744.86,1154.87
32.0,264.54,157.55,438.84,508.98,1782.56,1176.76
32.0,257.7,157.55,436.76,507.16,1730.72,1136.49
32.0,257.7,157.55,436.76,506.25,1725.06,1131.23
32.0,256.56,157.55,438.84,508.98,1769.36,1159.25
32.0,261.12,157.55,437.8,507.16,1735.43,1136.49
